tag	artists	albums	tracks
electronic	932	2453	10034
pop	611	1335	4523
rock	608	1159	3995
ambient	496	1135	4185
soundtrack	391	1187	4545
alternative	372	675	2225
easylistening	346	811	2972
experimental	341	628	2099
classical	334	910	3361
dance	270	584	1702
chillout	249	591	2285
poprock	226	431	1316
jazz	225	436	1296
indie	215	415	1514
world	208	372	1209
techno	203	429	1399
folk	203	378	1399
house	201	451	1488
hiphop	193	307	1200
lounge	191	424	1382
funk	180	269	593
popfolk	178	314	1101
orchestral	172	401	1261
atmospheric	169	288	765
instrumentalpop	160	254	912
trance	156	347	916
metal	140	225	809
newage	139	353	1331
triphop	126	190	616
reggae	117	168	859
downtempo	116	231	944
